trans_date_trans_time,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
2019-12-09T12:47:36Z,Parker-Kunde,personal_care,6.6,Palmdale,CA,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,ba777f3b88f35267645fc227bedc2e44,35.223997,-118.889973,0
2020-05-09T07:48:29Z,Dach-Bore,grocery_net,67.63,American Fork,UT,40.3928,-111.7941,42384,Futures trader,1992-12-29,7b6de28a083d459741d9d92ce95ef0f2,41.000691,-111.798262,0
2020-04-13T13:32:11Z,Hermann and Sons,shopping_pos,279.77,Napa,CA,38.4549,-122.2564,94014,Airline pilot,1985-08-21,d7e7091805ae7160d8cdc001d9fcca3b,37.947785,-121.487285,0
2019-08-21T12:21:20Z,Waelchi Inc,kids_pets,41.97,Napa,CA,38.4549,-122.2564,94014,Airline pilot,1985-08-21,fd277294dd90813f66ee7afe4c32a569,39.168434000000005,-121.39208000000001,0
2020-09-12T22:45:56Z,Altenwerth-Kilback,home,10.83,Matthews,MO,36.7154,-89.6287,1019,Aeronautical engineer,1979-01-26,fda7d77750f23d8bdd9fef816217b4fa,36.741341,-89.6625,0
2019-07-06T05:02:36Z,Emmerich-Luettgen,grocery_net,67.7,Redford,MO,37.3272,-91.0243,241,Investment analyst,1974-10-27,a0b2fb745200ecfe566fe97e144791d6,37.47554,-90.210456,0
2019-06-19T13:25:06Z,Fadel-Hilpert,health_fitness,4.27,Paauilo,HI,20.0271,-155.3697,1490,"Scientist, research (maths)",1991-04-13,873282cfbda19bb83dec0e8dc530cbfc,20.001989,-154.741982,0
2020-06-29T15:50:50Z,Kozey-Boehm,shopping_net,2.93,Newhall,CA,34.3795,-118.523,34882,Health physicist,1971-04-25,7abc0a427172589fbc3ccd0ed8ea5d95,34.292021000000005,-119.116188,0
2020-09-11T14:31:39Z,Kerluke-Abshire,shopping_net,1.72,Utica,MO,39.7417,-93.6289,271,Land/geomatics surveyor,1972-04-18,30f11a139c30a0f61fa176fac43aa492,38.996115,-93.607381,0
2019-01-18T16:59:09Z,"Watsica, Haag and Considine",shopping_pos,1.22,Bay City,OR,45.5197,-123.8761,1530,Colour technologist,1986-11-24,a43807fb12de6e76e835411b2c8ded4a,45.822534000000005,-124.875862,0
2020-03-09T11:02:22Z,Murray-Smitham,grocery_pos,101.07,Portland,OR,45.5303,-122.7033,841711,"Engineer, building services",1963-04-04,930ec8ff4f4a1fbc48a7cf143579d63f,45.124492,-123.673682,0
2019-06-27T12:05:24Z,"Gutmann, McLaughlin and Wiz",home,72.43,Helm,CA,36.4992,-120.0936,123,Early years teacher,1973-02-07,4aea25a3cae2a29cbadeb6e5fa5a93c1,36.809355,-120.602736,0
2020-04-05T23:11:38Z,Wuckert-Goldne,home,13.87,Palmdale,CA,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,d2ce5047739b8b1cf34dad95d1b626b6,34.496472,-117.482858,0
2020-09-13T14:30:39Z,"Romaguera, Wehner and Tromp",kids_pets,79.59,Sutherland,NE,41.1558,-101.136,1789,Insurance broker,1982-02-11,d3aa34f81c58e0cbaeda5295b80f353d,40.796412,-100.797488,0
2020-07-02T11:58:59Z,"Goldner, Kovacek and Abbott",grocery_pos,101.14,Claremont,CA,34.1092,-117.7183,35705,Wellsite geologist,1956-05-15,7c65c21a5f50314084e882a2daf3d231,33.82632,-117.065346,0
2019-03-30T23:11:24Z,"Reinger, Weissnat and Strosin",food_dining,17.54,Wales,AK,64.7556,-165.6723,145,"Administrator, education",1939-11-09,071c441ef9d79f0e56631e0f937a9860,65.061368,-164.901362,0
2020-06-04T19:20:02Z,Mosciski Group,travel,1.55,Corona,CA,33.8419,-117.6043,233717,Wellsite geologist,1966-05-22,610bf0d89c0372d032b622026dc09102,33.560815000000005,-118.249665,0
2020-07-27T18:10:39Z,"Haley, Jewess and Bechtel",shopping_pos,7.49,North Loup,NE,41.4972,-98.7858,509,"Nurse, children's",1980-09-15,794d0532ece081c8875870ecf95b7bef,42.018213,-97.977646,0
2020-09-27T16:45:06Z,McKenzie-Huels,food_dining,113.75,Moriarty,NM,34.9889,-106.0609,7268,"Therapist, art",1988-08-04,bc0649c02346a34404ee127234dc203a,35.714621,-105.452778,0
2020-08-23T22:40:59Z,"Graham, Hegmann and Hammes",food_dining,27.31,Littleton,CO,39.5994,-105.0044,320420,Water engineer,1975-07-31,5ac8f940e97df06d9e6a23ad051194ab,39.713028,-104.208056,0
2019-08-06T14:22:51Z,"Okuneva, Schneider and R",shopping_pos,3.31,Norwalk,CA,33.9056,-118.0818,105549,Firefighter,1973-09-22,4085b16942f9d829b2a59543757ab92a,34.354374,-118.238745,0
2019-09-30T17:30:59Z,Bernier and Sons,kids_pets,4.56,Clarksville,MO,39.3465,-90.9362,1146,Exercise physiologist,1929-04-07,8f0fab496af825701dc19c159d318084,39.387972,-90.956869,0
2019-07-28T10:45:56Z,Huels-Hahn,gas_transport,50.42,Newhall,CA,34.3795,-118.523,34882,Health physicist,1971-04-25,59f359befce6fa2ad26e5dc96ba546fe,34.614863,-118.997893,0
2019-11-21T19:34:54Z,Dickinson Lt,personal_care,3.29,Riverton,WY,43.0351,-108.2024,19408,"Lecturer, higher education",1993-09-11,9bae0eb00852473e5cb2d5fbd9603224,43.750573,-108.008198,0
2020-10-12T04:25:33Z,"Monahan, Bogisich and Ledne",misc_pos,265.2,Wales,AK,64.7556,-165.6723,145,"Administrator, education",1939-11-09,3a339589a8233ce7a9d7465e775e0b97,65.68015,-166.062355,0
